solvent,SMILES,b,csid
"1,2-dichloroethane",ClCCCl,-4.291,13837650
"1,4-dioxane",O1CCOCC1,-4.81,29015
1-butanol,CCCCO,-3.958,258
1-chlorobutane,ClCCCC,-4.883,7714
1-decanol,OCCCCCCCCCC,-4.153,7882
1-heptanol,OCCCCCCC,-4.342,7837
1-hexanol,OCCCCCC,-3.978,7812
1-octanol,OCCCCCCCC,-4.235,932
1-pentanol,OCCCCC,-3.864,6040
1-propanol,CCCO,-3.767,1004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,-4.811,10445
2-butanol,OC(C)CC,-3.882,6320
2-methyl-1-propanol,OCC(C)C,-3.568,6312
2-methyl-2-propanol,OC(C)(C)C,-4.085,6146
2-pentanol,OC(C)CCC,-3.745,21011
2-propanol,CC(O)C,-3.827,3644
3-methyl-1-butanol,OCCC(C)C,-3.77,29000
acetone,CC(=O)C,-4.753,175
acetonitrile,CC#N,-4.391,6102
benzene,c1ccccc1,-4.625,236
benzonitrile,c1ccc(cc1)C#N,-4.562,7224
bromobenzene,Brc1ccccc1,-4.558,7673
butanone,O=C(C)CC,-4.855,6321
butyl acetate,O=C(OCCCC)C,-4.973,29012
carbon tetrachloride,ClC(Cl)(Cl)Cl,-4.594,5730
chlorobenzene,Clc1ccccc1,-4.7,7676
chloroform,C(Cl)(Cl)Cl,-3.514,5977
cyclohexane,C1CCCCC1,-4.929,7787
cyclohexanone,O=C1CCCCC1,-4.842,7679
decane,C(CCCCCCCC)C,-4.97,14840
dibutyl ether,O(CCCC)CCCC,-5.357,8569
dibutylformamide,O=C(NCCCC)CCCC,-4.902,121365
dichloromethane,C(Cl)Cl,-4.09,6104
diethyl ether,CCOCC,-4.956,3168
diethylacetamide,O=C(N(CC)CC)C,-5.084,12181
dodecane,C(CCCCCCCC)CCC,-5.006,7890
ethanol,CCO,-3.596,682
ethyl acetate,O=C(OCC)C,-4.904,8525
ethylbenzene,CCc1ccccc1,-4.844,7219
fluorobenzene,Fc1ccccc1,-4.601,9614
heptane,CCCCCCC,-4.946,8560
hexane,CCCCCC,-4.939,7767
methanol,CO,-3.32,864
methyl acetate,O=C(OC)C,-4.527,6335
methyl tert-butyl ether,O(C(C)(C)C)C,-5.097,14672
methylcyclohexane,CC1CCCCC1,-4.293,7674
m-xylene,Cc1cccc(c1)C,-4.961,7641
N-ethylacetamide,O=C(NCC)C,-4.728,11752
N-ethylformamide,O=CNCC,-4.589,11815
N-methyl-2-piperidone,O=C1N(C)CCCC1,-5.035,13014
N-methylacetamide,O=C(NC)C,-4.589,6334
N-methylformamide,O=CNC,-4.085,28994
N-methylpyrrolidinone,O=C1N(C)CCC1,-4.794,12814
nonane,CCCCCCCCC,-4.921,7849
octane,CCCCCCCC,-4.907,349
o-xylene,Cc1ccccc1C,-4.821,6967
pentane,CCCCC,-5.215,7712
propylene carbonate,CC1COC(=O)O1,-4.407,7636
p-xylene,Cc1ccc(cc1)C,-4.874,7521
sulfolane,C1CCS(=O)(=O)C1,-4.541,29080
THF,C1CCOC1,-4.932,7737
toluene,c1ccccc1C,-4.748,1108
undecane,C(CCCCCCCC)CC,-5.12,13619
