solvent,SMILES,c,csid
"1,2-dichloroethane",ClCCCl,0.183,13837650
"1,4-dioxane",O1CCOCC1,0.123,29015
1-butanol,CCCCO,0.165,258
1-chlorobutane,ClCCCC,0.222,7714
1-decanol,OCCCCCCCCCC,-0.058,7882
1-heptanol,OCCCCCCC,0.035,7837
1-hexanol,OCCCCCC,0.115,7812
1-octanol,OCCCCCCCC,-0.034,932
1-pentanol,OCCCCC,0.15,6040
1-propanol,CCCO,0.139,1004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,0.32,10445
2-butanol,OC(C)CC,0.127,6320
2-methyl-1-propanol,OCC(C)C,0.188,6312
2-methyl-2-propanol,OC(C)(C)C,0.211,6146
2-pentanol,OC(C)CCC,0.115,21011
2-propanol,CC(O)C,0.099,3644
3-methyl-1-butanol,OCCC(C)C,0.073,29000
acetone,CC(=O)C,0.313,175
acetonitrile,CC#N,0.413,6102
benzene,c1ccccc1,0.142,236
benzonitrile,c1ccc(cc1)C#N,0.097,7224
bromobenzene,Brc1ccccc1,-0.017,7673
butanone,O=C(C)CC,0.246,6321
butyl acetate,O=C(OCCCC)C,0.248,29012
carbon tetrachloride,ClC(Cl)(Cl)Cl,0.199,5730
chlorobenzene,Clc1ccccc1,0.065,7676
chloroform,C(Cl)(Cl)Cl,0.191,5977
cyclohexane,C1CCCCC1,0.159,7787
cyclohexanone,O=C1CCCCC1,0.038,7679
decane,C(CCCCCCCC)C,0.186,14840
dibutyl ether,O(CCCC)CCCC,0.176,8569
dibutylformamide,O=C(NCCCC)CCCC,0.332,121365
dichloromethane,C(Cl)Cl,0.319,6104
diethyl ether,CCOCC,0.35,3168
diethylacetamide,O=C(N(CC)CC)C,0.213,12181
dodecane,C(CCCCCCCC)CCC,0.114,7890
ethanol,CCO,0.222,682
ethyl acetate,O=C(OCC)C,0.328,8525
ethylbenzene,CCc1ccccc1,0.093,7219
fluorobenzene,Fc1ccccc1,0.139,9614
heptane,CCCCCCC,0.297,8560
hexane,CCCCCC,0.333,7767
methanol,CO,0.276,864
methyl acetate,O=C(OC)C,0.351,6335
methyl tert-butyl ether,O(C(C)(C)C)C,0.341,14672
methylcyclohexane,CC1CCCCC1,0.246,7674
m-xylene,Cc1cccc(c1)C,0.122,7641
N-ethylacetamide,O=C(NCC)C,0.284,11752
N-ethylformamide,O=CNCC,0.22,11815
N-methyl-2-piperidone,O=C1N(C)CCCC1,0.056,13014
N-methylacetamide,O=C(NC)C,0.09,6334
N-methylformamide,O=CNC,0.114,28994
N-methylpyrrolidinone,O=C1N(C)CCC1,0.147,12814
nonane,CCCCCCCCC,0.24,7849
octane,CCCCCCCC,0.231,349
o-xylene,Cc1ccccc1C,0.083,6967
pentane,CCCCC,0.369,7712
propylene carbonate,CC1COC(=O)O1,0.004,7636
p-xylene,Cc1ccc(cc1)C,0.166,7521
sulfolane,C1CCS(=O)(=O)C1,0,29080
THF,C1CCOC1,0.223,7737
toluene,c1ccccc1C,0.125,1108
undecane,C(CCCCCCCC)CC,0.058,13619
