solvent,SMILES,s,molID
"1,2-dichloroethane",ClCCCl,-0.134,13837650
"1,4-dioxane",O1CCOCC1,-0.033,29015
1-butanol,CCCCO,-1.011,258
1-chlorobutane,ClCCCC,-0.569,7714
1-decanol,OCCCCCCCCCC,-1.319,7882
1-heptanol,OCCCCCCC,-1.063,7837
1-hexanol,OCCCCCC,-1.164,7812
1-octanol,OCCCCCCCC,-1.044,932
1-pentanol,OCCCCC,-1.229,6040
1-propanol,CCCO,-1.029,1004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,-1.685,10445
2-butanol,OC(C)CC,-0.976,6320
2-methyl-1-propanol,OCC(C)C,-1.127,6312
2-methyl-2-propanol,OC(C)(C)C,-0.947,6146
2-pentanol,OC(C)CCC,-1.331,21011
2-propanol,CC(O)C,-1.049,3644
3-methyl-1-butanol,OCCC(C)C,-1.273,29000
acetone,CC(=O)C,-0.121,175
acetonitrile,CC#N,0.326,6102
benzene,c1ccccc1,-0.588,236
benzonitrile,c1ccc(cc1)C#N,0.059,7224
bromobenzene,Brc1ccccc1,-0.424,7673
butanone,O=C(C)CC,-0.08,6321
butyl acetate,O=C(OCCCC)C,-0.501,29012
carbon tetrachloride,ClC(Cl)(Cl)Cl,-1.159,5730
chlorobenzene,Clc1ccccc1,-0.521,7676
chloroform,C(Cl)(Cl)Cl,-0.403,5977
cyclohexane,C1CCCCC1,-1.678,7787
cyclohexanone,O=C1CCCCC1,0.058,7679
decane,C(CCCCCCCC)C,-1.741,14840
dibutyl ether,O(CCCC)CCCC,-0.985,8569
dibutylformamide,O=C(NCCCC)CCCC,-0.436,121365
dichloromethane,C(Cl)Cl,-0.187,6104
diethyl ether,CCOCC,-0.82,3168
diethylacetamide,O=C(N(CC)CC)C,0.089,12181
dodecane,C(CCCCCCCC)CCC,-1.644,7890
ethanol,CCO,-1.035,682
ethyl acetate,O=C(OCC)C,-0.446,8525
ethylbenzene,CCc1ccccc1,-0.723,7219
fluorobenzene,Fc1ccccc1,-0.374,9614
heptane,CCCCCCC,-1.755,8560
hexane,CCCCCC,-1.71,7767
methanol,CO,-0.714,864
methyl acetate,O=C(OC)C,-0.15,6335
methyl tert-butyl ether,O(C(C)(C)C)C,-0.817,14672
methylcyclohexane,CC1CCCCC1,-1.982,7674
m-xylene,Cc1cccc(c1)C,-0.603,7641
N-ethylacetamide,O=C(NCC)C,-0.442,11752
N-ethylformamide,O=CNCC,-0.166,11815
N-methyl-2-piperidone,O=C1N(C)CCCC1,0.257,13014
N-methylacetamide,O=C(NC)C,-0.172,6334
N-methylformamide,O=CNC,-0.287,28994
N-methylpyrrolidinone,O=C1N(C)CCC1,0.225,12814
nonane,CCCCCCCCC,-1.713,7849
octane,CCCCCCCC,-1.84,349
o-xylene,Cc1ccccc1C,-0.813,6967
pentane,CCCCC,-1.568,7712
propylene carbonate,CC1COC(=O)O1,0.504,7636
p-xylene,Cc1ccc(cc1)C,-0.812,7521
sulfolane,C1CCS(=O)(=O)C1,0.601,29080
THF,C1CCOC1,-0.384,7737
toluene,c1ccccc1C,-0.644,1108
undecane,C(CCCCCCCC)CC,-1.661,13619
